report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,reduction_type,reduction_technique_id,reduction_technique_name,year_installed,comment_by_facility
551296,2022/2023,516654,SA,SA0152,YALDARA ESTATE,1847 WINERY (SA) PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,
551296,2022/2023,516654,SA,SA0152,YALDARA ESTATE,1847 WINERY (SA) PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2002.0,wastewater treatment plant updated in 2002
549930,2022/2023,545702,WA,WA0685,3 Oceans Wine Company,3 OCEANS WINE COMPANY PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,high-pressure washer/ steam cleaner used in the winery
549930,2022/2023,545702,WA,WA0685,3 Oceans Wine Company,3 OCEANS WINE COMPANY PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2008.0,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,9,Activated carbon filter,2019.0,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,35,Community consultative committee,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,15,Dust monitor,2018.0,Dust extraction system
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,23,Changed production schedules to minimise equipment/feedstock changeovers,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,Yes – modifying pack line to improve efficiency
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,25,"Improved procedures for loading, unloading or transfer operations",,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,"On som
"
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,28,Changed product specifications,,Yes – optimising efficiencies and reducing losses
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,29,Installed vapour recovery systems (VRS),,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,33,Use of cleaner raw materials,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,11,Wastewater treatment,2017.0,
543918,2022/2023,546228,WA,WA0756,Daniel's Well,A O'MEEHAN AND CO.,143,Beef Cattle Feedlots (Specialised),Cleaner Production Activities,36,Other modifications / practices,,Remove and spread manure annually.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,35,Community consultative committee,,Stakeholder & Community Liaison Officer employed to improve communications with neighbors.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,Employed landfill best practices.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Used during construction and on hot days.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Continued landfill monitoring but upgraded the level of monitoring during construction activities.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,36,Other modifications / practices,,The landfill is almost fully rehabilitated as at November 2020.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,16,Other pollution control equipment,2016.0,Leachate and gas extraction systems.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,12,Thermal oxidiser,2000.0,Landfill gas exported under a long term contract to EDL for energy generation in ICEs and/or flaring.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,11,Wastewater treatment,2016.0,Leachate treatment.
551090,2022/2023,549268,VIC,00022863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Implemented e-forms.
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,36,Other modifications / practices,,Audited steam traps to ensure higher efficiency.
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,2,Fabric filter/baghouse,2020.0,Breather filter assemblies on Silo no1-3 replaced.
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,3,Wet scrubber,2004.0,
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,4,Dry scrubber,2021.0,"Additional ducting installed throughout plant
Further point source ducting installed in 2023"
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,7,Biofilter,2004.0,"Additional Biofilter added in 2015. Biofilter Media changed 2023
OCS implemented with monitoring and maintenance schedule
New sprinklers systems installed"
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,8,Low NOx burner,2020.0,New more efficient 10MW boiler installed. Co-fired with Natural Gas and Biogas
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,11,Wastewater treatment,2011.0,"Additional aeration and agitation installed on aerobic ponds in 2023. 
Level monitoring systems in place on ponds to ensure consistent flow rates
Install additional agitation and recirculation in CAL to improve anaerobic performance and biogas generation"
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,16,Other pollution control equipment,2015.0,Planted 100 trees to create windbreak to prevent rogue odours from leaving the site. New ducting installed to capture odours.
